,sido_name,gugun_name,sido_code,gugun_code,addr,doro_address,s_code,s_name,open_dt,lat,lot,s_biz_code,store_area_code,out_distance,defaultimage
1521,강원,춘천시,09,0908,강원도 춘천시 온의동 589-2,강원도 춘천시 방송길 104 (온의동),1696,춘천온의,20200904,37.867636,127.720852,3951,A12,179.98,http://image.istarbucks.co.kr/upload/store/2020/09/[3951]_20200903094740_3kchi.jpg
1522,강원,춘천시,09,0908,강원도 춘천시 퇴계동 산55-3,강원도 춘천시 안마산로 95 (퇴계동),1737,춘천퇴계DT,20201203,37.855291,127.726209,3862,A12,179.66,http://image.istarbucks.co.kr/upload/store/2020/12/[3862]_20201202092652_en91v.jpg
1523,강원,춘천시,09,0908,강원도 춘천시 효자동 632-3번지,강원도 춘천시 서부대성로 243-1 (효자동),508,강원대,20120424,37.872749,127.745062,9690,A12,182.08,http://image.istarbucks.co.kr/upload/store/2020/09/[9690]_20200901090313_uwvqi.jpg
1524,강원,춘천시,09,0908,강원도 춘천시 온의동 511 E-마트,강원도 춘천시 경춘로 2353 (온의동) E-마트 춘천점내 1층,55,춘천이마트,20060829,37.86381381,127.71833,9374,A12,179.57,http://image.istarbucks.co.kr/upload/store/2023/01/[9374]_20230119110219_y45gv.jpg
1525,강원,춘천시,09,0908,강원도 춘천시 중앙로2가 9,강원도 춘천시 중앙로 55 (중앙로2가),86,춘천명동,20080926,37.87999215,127.7275212,9466,A12,181.2,http://image.istarbucks.co.kr/upload/store/2020/02/[9466]_20200227081554_1r7z4.jpg
1526,강원,춘천시,09,0908,강원도 춘천시 석사동 799-4,강원도 춘천시 후석로 13 (석사동),1070,춘천석사DT,20160526,37.856608,127.739326,3234,A12,180.72,http://image.istarbucks.co.kr/upload/store/2020/02/[3234]_20200216083023_l3ro1.jpg
1527,강원,춘천시,09,0908,강원도 춘천시 후평동 700-1,강원도 춘천시 후석로 318 (후평동),1125,춘천후평DT,20161025,37.879435,127.750579,3282,A12,182.89,http://image.istarbucks.co.kr/upload/store/2023/07/[3282]_20230708100638_hh6v7.jpg
1528,강원,춘천시,09,0908,강원도 춘천시 동면 만천리 340-61,강원도 춘천시 동면 순환대로 1154-63 ,1566,춘천구봉산R,20191031,37.888306,127.776182,3543,A12,185.32,http://image.istarbucks.co.kr/upload/store/2022/01/[3543]_20220111025124_gjuet.jpg
1529,강원,홍천군,09,0910,강원도 홍천군 서면 팔봉리 1290-2 대명비발디파크,강원도 홍천군 서면 한치골길 262 ,411,오션월드,20070706,37.648815,127.686053,9805,A12,165.62,http://image.istarbucks.co.kr/upload/store/2023/06/[9805]_20230625092730_e8btk.jpg
1530,강원,홍천군,09,0910,강원도 홍천군 서면 팔봉리 1290-2 대명비발디파크,강원도 홍천군 서면 한치골길 262 ,308,비발디파크,20031129,37.645094,127.682234,9801,A12,165.14,http://image.istarbucks.co.kr/upload/store/2020/02/[9801]_20200215075645_p1w3i.jpg
1531,경남,거제시,10,1016,경상남도 거제시 장평동 337-1,경상남도 거제시 장평3로 43 (장평동),2140,거제장평,20230602,34.892974,128.608744,4452,A11,331.7,http://image.istarbucks.co.kr/upload/store/2023/05/[4452]_20230530022324_cv3d9.PNG
1532,경남,거제시,10,1016,"경상남도 거제시 옥포동 550-14,15",경상남도 거제시 거제대로 3718 (옥포동),1742,거제옥포DT,20201210,34.88918,128.69154,3889,A11,337.31,http://image.istarbucks.co.kr/upload/store/2020/12/[3889]_20201209043411_oi6mg.jpg
